thema;indicator;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label
Bestaanszekerheid;% personen onder NL-armoedegrens (nieuwe CBS–SCP–Nibud-methode);NA;CBS/SCP/Nibud;Niet hoger dan 2024: 3,1%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;Daarom zetten we ambitieus in om zoveel mogelijk mensen uit de armoede te halen (of te voorkomen dat ze erin komen);3,1;2024;NA;lager;Wet of verdrag;FALSE;NA;NA
Bestaanszekerheid;Kinderarmoede (% kinderen < 18);% kinderen < 18;CBS/CPB;Niet hoger dan 2024: 2,8%;het Europees Sociaal Handvest (artikel 30), het VN-Verdrag inzake Economische, Sociale en Culturele Rechten (ICESCR) en de VN-doelen (SDG 1) om armoede in 2030 uit te bannen;NA;NA;2,8;2024;NA;lager;Wet of verdrag;FALSE;NA;NA
Gelijkheid/non-discriminatie;Gender-equality index (score);score;EIGE;Hoe hoger, hoe beter;VN-Vrouwenverdrag (CEDAW) en het Verdrag van Istanbul;NA;We blijven werken aan de gelijkwaardige positie van vrouwen in onze samenleving;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Gelijkheid/non-discriminatie;Gender-equality index (rang);rang;EIGE;Een hogere positie (lager getal) is beter;VN-Vrouwenverdrag (CEDAW) en het Verdrag van Istanbul;NA;We blijven werken aan de gelijkwaardige positie van vrouwen in onze samenleving;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Gelijkheid/non-discriminatie;Loonkloof man/vrouw (inkomen vrouwen als % van inkomen mannen);NA;CBS;Een hoger % is beter;Wet Loontransparantie (2026);NA;NA;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA
Gelijkheid/non-discriminatie;Inkomensongelijkheid (Gini-coëfficiënt);Gini-coëfficiënt;CBS;Hoe lager, hoe beter;Duurzame Ontwikkelingsdoelen (SDG’s) van de Verenigde Naties voor de periode 2015-2030 (nr. 10);NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA
Gelijkheid/non-discriminatie;Vermogensongelijkheid (Gini-coëfficiënt);Gini-coëfficiënt;CBS;Hoe lager, hoe beter;Duurzame Ontwikkelingsdoelen (SDG’s) van de Verenigde Naties voor de periode 2015-2030 (nr. 10);NA;NA;NA;NA;NA;lager;Overig;FALSE;NA;NA
Gelijkheid/non-discriminatie;Ervaren discriminatie (% personen 15+);% personen 15+;CBS Veiligheidsmonitor;Hoe lager, hoe beter;Arikel 1 van de Grondwet, Algemene wet gelijke behandeling (AWGB), artikel 137 Wetboek van Strafrecht;NA;We versterken de rol van de Nationaal Coördinator Discriminatie en Racisme en de Nationaal coördinator Antisemitismebestrijding door hun werk wettelijk te verankeren;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (mannen);mannen;CBS/RIVM;Hoe lager/kleiner, hoe beter;Nationaal Preventieakkoord 2018;NA;NA;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (vrouwen);vrouwen;CBS/RIVM;Hoe lager/kleiner, hoe beter;Nationaal Preventieakkoord 2018;NA;NA;NA;NA;NA;lager;Beleidsafspraak;FALSE;NA;NA
