thema;indicator;eerste_jaar;laatste_jaar;n_metingen;startwaarde;laatste_waarde;eenheid;bron;herkomst;doel_tekst;legitimatie;doelsoort;coalitiedoel;doel;doeljaar;heeft_raming;raming_jaar;raming_waarde;raming_bron;doel_alt;doel_alt_label;richting;helling;r2;projectie;afstand;gat;gat_projectie;status;beweging;verandering;verandering_pct;heeft_streefwaarde
Gelijkheid/non-discriminatie;Ervaren discriminatie (% personen 15+);2021;2025;3;11,20000000000000;12,00000000000000;% personen 15+;CBS Veiligheidsmonitor;Rekenkamer;Hoe lager, hoe beter;Arikel 1 van de Grondwet, Algemene wet gelijke behandeling (AWGB), artikel 137 Wetboek van Strafrecht;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;2,00000000000058e-01;0,42857142857153047;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;0,8000000000000007;0,07142857142857149;FALSE
Gelijkheid/non-discriminatie;Gender-equality index (rang);2025;2025;1;5,00000000000000;5,00000000000000;rang;EIGE;Rekenkamer;Een hogere positie (lager getal) is beter;VN-Vrouwenverdrag (CEDAW) en het Verdrag van Istanbul;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;NA;NA;NA;NA;NA;NA;Alleen richting;NA;0,0000000000000000;0,00000000000000000;FALSE
Gelijkheid/non-discriminatie;Gender-equality index (score);2020;2025;2;64,70000000000000;69,50000000000000;score;EIGE;Rekenkamer;Hoe hoger, hoe beter;VN-Vrouwenverdrag (CEDAW) en het Verdrag van Istanbul;Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;NA;NA;NA;Alleen richting;NA;4,7999999999999972;0,07418856259659964;FALSE
Gelijkheid/non-discriminatie;Inkomensongelijkheid (Gini-coëfficiënt);2020;2024;5;0,29200000000000;0,30800000000000;Gini-coëfficiënt;CBS;Rekenkamer;Hoe lager, hoe beter;Duurzame Ontwikkelingsdoelen (SDG’s) van de Verenigde Naties voor de periode 2015-2030 (nr. 10);Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;5,49999999999996e-03;0,54406474820143624;NA;NA;NA;NA;Alleen richting;Verkeerde kant op;0,0160000000000000;0,05479452054794526;FALSE
Gelijkheid/non-discriminatie;Loonkloof man/vrouw (inkomen vrouwen als % van inkomen mannen);2020;2025;6;86,30000000000000;90,30000000000000;NA;CBS;Rekenkamer;Een hoger % is beter;Wet Loontransparantie (2026);Wet of verdrag;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;hoger;8,05714285714397e-01;0,96276029055693690;NA;NA;NA;NA;Alleen richting;Goede kant op;4,0000000000000000;0,04634994206257242;FALSE
Gelijkheid/non-discriminatie;Vermogensongelijkheid (Gini-coëfficiënt);2020;2024;5;0,76600000000000;0,72500000000000;Gini-coëfficiënt;CBS;Rekenkamer;Hoe lager, hoe beter;Duurzame Ontwikkelingsdoelen (SDG’s) van de Verenigde Naties voor de periode 2015-2030 (nr. 10);Overig;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;-9,39999999999992e-03;0,63604952490643085;NA;NA;NA;NA;Alleen richting;Goede kant op;-0,0410000000000000;-0,05352480417754574;FALSE
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (mannen);2020;2022;2;22,70000000000000;20,80000000000000;mannen;CBS/RIVM;Rekenkamer;Hoe lager/kleiner, hoe beter;Nationaal Preventieakkoord 2018;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;NA;NA;NA;NA;NA;NA;Alleen richting;NA;-1,8999999999999986;-0,08370044052863430;FALSE
Gelijkheid/non-discriminatie;Verschil (in jaren) gezonde levensverwachting tussen hoogste en laagste inkomenskwintiel (vrouwen);2020;2022;2;21,60000000000000;21,70000000000000;vrouwen;CBS/RIVM;Rekenkamer;Hoe lager/kleiner, hoe beter;Nationaal Preventieakkoord 2018;Beleidsafspraak;NA;NA;NA;FALSE;NA;NA;NA;NA;NA;lager;NA;NA;NA;NA;NA;NA;Alleen richting;NA;0,0999999999999979;0,00462962962962953;FALSE
Kennis & Vaardigheden;Aantallen vroegtijdig schoolverlaters (12-23 jaar);2020;2024;5;26360,00000000000000;34210,00000000000000;12-23 jaar;CBS;Rekenkamer;Maximum 2026: 18.000;Wet educatie en beroepsonderwijs, Wet op hoger onderwijs en wetenschappelijk onderzoek;Wet of verdrag;NA;18000,0;2026;FALSE;NA;NA;NA;NA;NA;lager;2,25799999999999e+03;0,67925679568009900;41206,000000000931323;-0,93899521531100483;-1,62100000000000e+04;-2,32060000000009e+04;Verkeerde richting;Verkeerde kant op;7850,0000000000000000;0,29779969650986343;TRUE
Kennis & Vaardigheden;Minimaal digitale basisvaardigheden (% personen > 12 jaar);2021;2023;2;74,30000000000000;78,70000000000000;% personen > 12 jaar;CBS;Rekenkamer;Doel 2030: 80%;Europees beleid: The Digital Decade;Internationale afspraak;NA;80,0;2030;FALSE;NA;NA;NA;NA;NA;hoger;NA;NA;NA;0,77192982456140413;1,30000000000000e+00;NA;Te weinig data;NA;4,4000000000000057;0,05921938088829079;TRUE
