indicator;jaar;thema;eenheid;bron;doel_tekst;legitimatie;coalitiedoel;coalitiebedoeling;doel;doeljaar;doel_meerdere;richting;doelsoort;heeft_coalitiedoel;doel_alt;doel_alt_label;waarde_rk;waarde;herkomst
Aantal opgehelderde misdrijven;2020;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;220,00000000000000;220,00000000000000;Rekenkamer
Aantal opgehelderde misdrijven;2021;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;209,00000000000000;209,00000000000000;Rekenkamer
Aantal opgehelderde misdrijven;2022;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;230,00000000000000;230,00000000000000;Rekenkamer
Aantal opgehelderde misdrijven;2023;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;228,00000000000000;228,00000000000000;Rekenkamer
Aantal opgehelderde misdrijven;2024;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;208,00000000000000;208,00000000000000;Rekenkamer
Aantal opgehelderde misdrijven;2025;Binnenlandse Veiligheid;NA;CBS/Politie;Meer opgehelderd is beter (hoger aantal);Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;180,00000000000000;180,00000000000000;Rekenkamer
High Impact Crimes x 1.000;2020;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;115,08000000000000;115,08000000000000;Rekenkamer
High Impact Crimes x 1.000;2021;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;103,02000000000000;103,02000000000000;Rekenkamer
High Impact Crimes x 1.000;2022;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;108,23000000000002;108,23000000000002;Rekenkamer
High Impact Crimes x 1.000;2023;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;102,02000000000000;102,02000000000000;Rekenkamer
High Impact Crimes x 1.000;2024;Binnenlandse Veiligheid;NA;CBS;Hoe minder hoe beter;Wetboek van Strafrecht, ingediende moties en toezeggingen aan de Kamer;NA;NA;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;103,73000000000002;103,73000000000002;Rekenkamer
National Cybersecurity Index - NL (ranking);2022;Binnenlandse Veiligheid;ranking;e-Governance Academy (Estland);hoe lager het cijfer van de ranking, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;20,00000000000000;20,00000000000000;Rekenkamer
National Cybersecurity Index - NL (ranking);2024;Binnenlandse Veiligheid;ranking;e-Governance Academy (Estland);hoe lager het cijfer van de ranking, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;lager;Wet of verdrag;FALSE;NA;NA;35,00000000000000;35,00000000000000;Rekenkamer
National Cybersecurity Index - NL (score);2022;Binnenlandse Veiligheid;score;e-Governance Academy (Estland);Hoe hoger, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA;83,12000000000000;83,12000000000000;Rekenkamer
National Cybersecurity Index - NL (score);2024;Binnenlandse Veiligheid;score;e-Governance Academy (Estland);Hoe hoger, hoe beter;"NIS2-richtlijn; Cyberbeveiligingswet";NA;We breiden de defensieve en offensieve cybercapaciteiten uit;NA;NA;NA;hoger;Wet of verdrag;FALSE;NA;NA;81,67000000000000;81,67000000000000;Rekenkamer
Ophelderingspercentage misdrijven;2020;Binnenlandse Veiligheid;NA;CBS/Politie;hoger % opgehelderd is beter;Versterking prestaties strafrechtketen (VPS), Strategische agenda politie;NA;Voorkomen en aanpakken criminaliteit;NA;NA;NA;hoger;Beleidsafspraak;FALSE;NA;NA;27,06027060270602;27,06027060270602;Rekenkamer
